"eje","subtema","categoria","sexo","grupo_edad","id","indicador","unidad","cve_area","lugar","url"
"Población","Grupos de edad","Total","Total","5 a 9","1002000088","Población de 5 a 9 años","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000088/es/19014/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","5 a 9","1002000088","Población de 5 a 9 años","Personas","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000088/es/19024/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","5 a 9","1002000088","Población de 5 a 9 años","Personas","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000088/es/19036/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","5 a 9","1002000089","Población de 5 a 9 años. Hombres","Personas","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000089/es/19007/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","5 a 9","1002000089","Población de 5 a 9 años. Hombres","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000089/es/19014/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","5 a 9","1002000089","Población de 5 a 9 años. Hombres","Personas","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000089/es/19024/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","5 a 9","1002000089","Población de 5 a 9 años. Hombres","Personas","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000089/es/19036/false/BISE/2.0/"
"Población","Grupos de edad","Mujeres","Mujeres","5 a 9","1002000090","Población de 5 a 9 años. Mujeres","Personas","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000090/es/19007/false/BISE/2.0/"
"Población","Grupos de edad","Mujeres","Mujeres","5 a 9","1002000090","Población de 5 a 9 años. Mujeres","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000090/es/19014/false/BISE/2.0/"
"Población","Grupos de edad","Mujeres","Mujeres","5 a 9","1002000090","Población de 5 a 9 años. Mujeres","Personas","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000090/es/19024/false/BISE/2.0/"
"Población","Grupos de edad","Mujeres","Mujeres","5 a 9","1002000090","Población de 5 a 9 años. Mujeres","Personas","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000090/es/19036/false/BISE/2.0/"
